地域,都道府県,区分,学校名,住所
北海道,北海道,中学,北海道教育大学附属札幌中学校,北海道札幌市北区あいの里5-3-1-11
北海道,北海道,中学,北海道教育大学附属函館中学校,北海道函館市美原3-48-6
北海道,北海道,中学,北海道教育大学附属旭川中学校,北海道旭川市春光4-2-1-1
北海道,北海道,中学,札幌市立柏中学校,北海道札幌市中央区南21条西5丁目1番2号
北海道,北海道,中学,札幌市立中央中学校,北海道札幌市中央区北4条東3丁目
北海道,北海道,中学,札幌市立中島中学校,北海道札幌市中央区南12条西7丁目2番1号
北海道,北海道,中学,札幌市立啓明中学校,北海道札幌市中央区南9条西22丁目2-1
北海道,北海道,中学,札幌市立向陵中学校,北海道札幌市中央区北4条西28丁目1-30
北海道,北海道,中学,札幌市立伏見中学校,北海道札幌市中央区南16条西17丁目1-35
北海道,北海道,中学,札幌市立宮の森中学校,北海道札幌市中央区宮の森1条16丁目5番1号
北海道,北海道,中学,札幌市立山鼻中学校,北海道札幌市中央区南23条西13丁目1-1
北海道,北海道,中学,札幌市立星友館中学校,北海道札幌市中央区南3条西7丁目
北海道,北海道,中学,札幌市立北辰中学校,北海道札幌市北区北18条西2丁目2-1
北海道,北海道,中学,札幌市立新琴似中学校,北海道札幌市北区新琴似7条4丁目1-1
北海道,北海道,中学,札幌市立篠路中学校,北海道札幌市北区篠路町篠路368番地
北海道,北海道,中学,札幌市立北陽中学校,北海道札幌市北区北34条西7丁目3-1
北海道,北海道,中学,札幌市立新琴似北中学校,北海道札幌市北区新琴似10条10丁目2番46号
北海道,北海道,中学,札幌市立新川中学校,北海道札幌市北区新川4条3丁目1番1号
北海道,北海道,中学,札幌市立光陽中学校,北海道札幌市北区新琴似4条11丁目7番1号
北海道,北海道,中学,札幌市立太平中学校,北海道札幌市北区太平8条2丁目1番1号
北海道,北海道,中学,札幌市立屯田中央中学校,北海道札幌市北区屯田6条8丁目1-1
北海道,北海道,中学,札幌市立篠路西中学校,北海道札幌市北区篠路6条2丁目1番50号
北海道,北海道,中学,札幌市立新川西中学校,北海道札幌市北区新川4条15丁目1番1号
北海道,北海道,中学,札幌市立上篠路中学校,北海道札幌市北区篠路1条11丁目3番1号
北海道,北海道,中学,札幌市立あいの里東中学校,北海道札幌市北区あいの里2条7丁目14番1号
北海道,北海道,中学,札幌市立屯田北中学校,北海道札幌市北区屯田9条4丁目2-1
北海道,北海道,中学,札幌市立北辰中学校ひまわり分校,北海道札幌市北区北14条西5丁目
北海道,北海道,中学,札幌市立美香保中学校,北海道札幌市東区北17条東6丁目1番1号
北海道,北海道,中学,札幌市立北栄中学校,北海道札幌市東区北33条東2丁目1-1
北海道,北海道,中学,札幌市立札幌中学校,北海道札幌市東区伏古8条1丁目1-28
北海道,北海道,中学,札幌市立東栄中学校,北海道札幌市東区本町1条7丁目2番7号
北海道,北海道,中学,札幌市立明園中学校,北海道札幌市東区北22条東12丁目1番1号
北海道,北海道,中学,札幌市立栄中学校,北海道札幌市東区北46条東6丁目1番1号
北海道,北海道,中学,札幌市立札苗中学校,北海道札幌市東区東苗穂7条1丁目1番1号
北海道,北海道,中学,札幌市立栄南中学校,北海道札幌市東区北36条東16丁目1番1号
北海道,北海道,中学,札幌市立元町中学校,北海道札幌市東区北28条東20丁目1番1号
北海道,北海道,中学,札幌市立丘珠中学校,北海道札幌市東区丘珠町674番地
北海道,北海道,中学,札幌市立栄町中学校,北海道札幌市東区北36条東14丁目1番1号
